"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:13:31";"2013-04-15 08:13:33";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:33";"2013-04-15 08:13:34";92.7;0;92.7;92.7;16.7;0;16.7;16.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:34";"2013-04-15 08:13:36";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:36";"2013-04-15 08:13:37";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:37";"2013-04-15 08:13:39";85.4;0;85.4;85.4;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:39";"2013-04-15 08:13:40";;;;;;;;;;;;;;;;;85;0;85;85;15.9;0;15.9;15.9;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:13:40";"2013-04-15 08:13:42";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:42";"2013-04-15 08:13:43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:43";"2013-04-15 08:13:45";85.9;0;85.9;85.9;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:45";"2013-04-15 08:13:46";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:46";"2013-04-15 08:13:48";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:48";"2013-04-15 08:13:49";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:49";"2013-04-15 08:13:51";86.3;0;86.3;86.3;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:51";"2013-04-15 08:13:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:52";"2013-04-15 08:13:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:54";"2013-04-15 08:13:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:55";"2013-04-15 08:13:57";86.5;0;86.5;86.5;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:57";"2013-04-15 08:13:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:58";"2013-04-15 08:14:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:00";"2013-04-15 08:14:01";86.7;0;86.7;86.7;16;0;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:01";"2013-04-15 08:14:03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:14:03";"2013-04-15 08:14:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
